	C8 (1)	C8 (3)	Control (1)	Control (2)	Control (3)
cspI	-0.045577	-0.070308	0.100298	-0.058092	-0.062777
ydfP	0.000437	0.006871	0.000350	0.000145	-0.000495
arrQ	-0.004380	-0.004380	-0.003922	-0.004630	0.008428
ydfR	-0.006062	-0.005284	0.012303	-0.005141	-0.007431
essQ	-0.004965	-0.000984	0.003087	-0.000984	-0.002120
cspB	-0.018162	-0.241581	0.043518	0.013398	-0.063851
cspF	-0.002756	-0.120815	-0.020769	0.039310	-0.021381
quuQ	-0.000449	-0.000449	0.000720	-0.000055	-0.000666
ydfU	-0.001701	-0.000089	0.000222	0.000049	-0.000271
rem	-0.069975	0.020324	-0.002026	0.004025	-0.002026
hokD	-0.019244	-0.020267	0.033640	-0.019124	-0.016582
relE	0.005437	0.002406	0.002406	0.003012	-0.005470
relB	-0.003539	-0.002429	0.004409	0.000033	-0.004487
ydfV	-0.000373	0.022442	0.000000	0.000000	0.000000
flxA	-0.252701	-0.281853	-0.005769	-0.003074	0.008706
ydfW	-0.002495	0.030755	0.000480	0.000106	-0.000587
ydfX	-0.001628	0.013123	0.000471	-0.000411	-0.000061
dicC	-0.000811	-0.000360	-0.000360	-0.000545	0.000903
dicA	0.054280	0.000000	0.000000	0.000000	0.000000
ydfA	-0.001788	-0.001441	-0.001441	-0.001441	0.002867
rzpQ	0.000379	0.000173	0.000351	-0.000314	-0.000038
dicF	-0.000138	-0.000138	0.000460	-0.000138	-0.000323
dicB	-0.000479	-0.000479	-0.000009	0.000689	-0.000682
ydfD	-0.023788	0.075276	-0.023626	-0.026280	0.045974
ydfE	-0.000629	-0.001246	-0.000629	0.001256	-0.000629
insD	-0.015125	0.009166	-0.021980	-0.017865	0.037289
intQ	0.000073	-0.000547	0.000073	0.000073	-0.000146
rspB	0.000098	0.061853	0.000609	-0.000451	-0.000159
rspA	-0.000173	-0.000173	0.000346	-0.000173	-0.000173
ynfA	0.021049	-0.001522	-0.001367	-0.005195	0.006481
ynfB	-0.006230	-0.006202	-0.005729	0.011237	-0.005729
speG	0.000068	0.005967	-0.002863	0.002777	0.000068
ynfC	0.031742	0.024831	-0.013453	0.006644	0.006502
ynfE	-0.002272	-0.001863	-0.001863	-0.001863	0.003703
ynfF	0.000245	0.000245	0.000473	0.000245	-0.000720
ynfG	-0.002523	-0.001932	0.005396	-0.001932	-0.003515
ynfH	0.000400	0.007463	0.000455	-0.000142	-0.000313
dmsD	0.016095	-0.001884	0.000000	0.000000	0.000000
clcB	0.000492	0.071525	0.001153	-0.001331	0.000174
ynfK	0.014542	-0.005280	-0.004215	0.009865	-0.005822
dgsA	0.000158	-0.000555	0.000158	-0.000316	0.000158
ynfL	0.000034	-0.000380	0.000515	-0.000064	-0.000451
ynfM	0.072082	0.001300	-0.002540	0.001229	0.001300
asr	0.001332	0.000813	0.001407	-0.000095	-0.001316
mdtI	-0.004841	0.006346	0.008666	-0.004411	-0.004386
mdtJ	-0.079946	-0.026315	-0.006480	0.024069	-0.018713
tqsA	-0.003793	0.003719	-0.003793	0.007657	-0.003966
pntB	0.047988	-0.035369	0.002655	-0.001334	-0.001334
pntA	-0.008858	-0.003700	-0.003316	-0.003316	0.006556
ydgH	0.054040	0.005747	0.006532	-0.013367	0.006532
ydgI	-0.004919	-0.003937	0.007769	-0.003937	-0.003937
folM	-0.000097	-0.000097	0.000451	-0.000354	-0.000097
ydgC	0.064389	-0.021938	-0.007439	-0.007835	0.014883
rstA	0.020333	-0.000073	0.000504	-0.000285	-0.000219
rstB	-0.001630	-0.001885	-0.001169	0.003078	-0.001926
tus	0.001024	0.001024	-0.009175	0.007980	0.001024
fumC	0.193910	0.002370	0.002370	0.001494	-0.003890
fumA	0.019931	0.002646	-0.005342	0.002646	0.002646
manA	0.010171	-0.000232	-0.000232	-0.002168	0.002388
ydgA	0.032281	0.047732	0.001979	0.000648	-0.002640
uidC	-0.000100	-0.000062	0.000332	-0.000078	-0.000254
uidB	0.000029	0.000078	0.000548	0.000029	-0.000578
uidR	0.002954	-0.067030	-0.003034	0.006005	-0.003034
malI	-0.013417	-0.013349	-0.012307	0.024048	-0.012778
malX	-0.000505	-0.003007	0.000196	0.000260	-0.000456
malY	-0.012013	-0.011840	-0.011840	0.022754	-0.011840
add	0.000000	0.000000	0.000000	0.000000	0.000000
ydgJ	-0.000153	0.005749	0.000307	-0.000153	-0.000153
cnu	0.013637	-0.043477	0.000386	-0.000287	-0.000100
ydgK	0.000040	-0.000433	0.001433	-0.000433	-0.001004
rsxA	0.015827	-0.003584	-0.002948	0.005837	-0.002948
rsxB	0.042291	-0.039664	0.019162	-0.009680	-0.010135
rsxC	0.035583	0.003346	0.004250	-0.008626	0.004250
rsxD	-0.000179	-0.000179	0.000409	-0.000230	-0.000179
rsxG	0.014533	-0.009135	-0.008034	0.003962	0.003962
rsxE	0.000195	0.000195	0.000849	0.000195	-0.001046
nth	0.012702	-0.010104	-0.004302	-0.005090	0.009242
gst	-0.000450	0.015726	-0.007951	-0.003673	0.011387
pdxY	0.017779	-0.039093	0.018188	-0.009317	-0.009459
tyrS	0.026601	-0.003024	-0.000945	-0.000945	0.001884
pdxH	0.020556	0.022979	0.000151	-0.000076	-0.000076
ydhA	0.000746	0.000016	0.000016	-0.000031	0.000016
anmK	-0.004138	-0.004061	-0.004061	0.008009	-0.004061
slyB	0.071544	0.049280	-0.001127	-0.011884	0.012662
slyA	-0.010649	-0.019990	-0.000345	0.009388	-0.009243
ydhI	-0.001102	-0.001102	-0.001102	0.002966	-0.001879
ydhJ	0.000963	0.000226	0.001286	0.000226	-0.001517
ydhK	-0.002367	-0.001759	0.003498	-0.001759	-0.001759
sodC	0.000052	-0.000040	0.000052	0.000164	-0.000216
ydhL	-0.000275	-0.000275	0.000626	-0.000352	-0.000275
nemR	-0.006222	-0.015521	-0.003880	0.009926	-0.006222
nemA	-0.000122	-0.000122	0.000511	-0.000183	-0.000328
gloA	0.014793	-0.011622	-0.008705	-0.004304	0.012713
rnt	-0.000041	-0.000041	0.000676	-0.000475	-0.000202
lhr	-0.000246	-0.000246	0.001431	-0.000246	-0.001189
grxD	0.021895	-0.016515	-0.007163	0.003538	0.003538
ydhO	0.034750	0.071723	-0.057865	0.018205	0.034201
sodB	0.041229	0.002396	-0.012991	0.002396	0.010274
ydhP	0.000354	-0.056975	0.027065	-0.013464	-0.014921
purR	0.031236	-0.011514	-0.003629	0.007169	-0.003629
ydhB	0.041451	0.000064	0.000574	-0.000401	-0.000173
ydhC	0.003429	0.000384	0.000384	0.000384	-0.000768
cfa	0.113942	0.076383	-0.016207	0.000723	0.014926
ribC	0.025288	0.001199	0.001199	0.001199	-0.002408
mdtK	0.000192	0.000145	0.000655	0.000145	-0.000802
ydhQ	0.035247	0.027067	0.003202	-0.004214	0.000978
ydhR	0.032922	-0.026176	-0.001015	0.002024	-0.001015
ydhS	0.000183	-0.000023	0.000624	-0.000023	-0.000601
ydhT	-0.009245	-0.009323	0.019475	-0.009323	-0.010828
ydhU	-0.001761	-0.001821	-0.001258	-0.001541	0.002785
ydhX	-0.012781	-0.013118	-0.012234	-0.012781	0.023984
ydhW	0.000051	0.000051	0.000051	0.000051	-0.000102
ydhV	-0.002840	-0.002291	-0.002057	-0.002057	0.004085
ydhY	0.000205	0.000049	0.000544	-0.000422	-0.000122
ydhZ	-0.001737	-0.001693	-0.001693	0.003367	-0.001693
pykF	0.039429	0.019036	-0.025314	0.010208	0.014032
lpp	0.029075	0.021643	-0.008193	-0.004202	0.012127
ynhG	0.000118	0.000084	-0.003617	0.000084	0.003503
sufE	-0.003977	-0.003900	0.001033	0.004213	-0.005299
sufS	-0.001447	-0.001988	-0.001610	0.005208	-0.003648
sufD	0.030812	0.001080	0.003908	0.001080	-0.005036
sufC	0.000285	0.000329	0.000943	-0.001231	0.000285
sufB	0.030630	0.000557	0.000557	0.001079	-0.001640
sufA	0.008336	-0.002173	0.000000	0.000000	0.000000
ydiH	0.060774	0.002188	-0.004410	0.002188	0.002188
ydiI	-0.000873	-0.001000	0.001740	-0.000873	-0.000873
ydiJ	-0.003029	-0.097709	0.012778	-0.005828	-0.007239
ydiK	0.000554	-0.006010	-0.006010	0.015481	-0.009904
ydiL	-0.000195	-0.000195	-0.000195	-0.000195	0.000390
ydiM	-0.008804	-0.006216	0.012172	-0.006216	-0.006216
ydiN	0.000160	0.000000	0.000000	0.000000	0.000000
ydiB	0.000065	0.000140	0.000140	0.000541	-0.000682
aroD	0.000043	0.000024	0.000576	0.000024	-0.000601
ydiF	-0.001486	-0.000559	0.002692	-0.000116	-0.002591
ydiP	0.000216	0.012219	0.000216	0.000216	-0.000432
ydiQ	0.017725	0.000212	0.000212	0.000100	-0.000313
ydiR	-0.000318	0.000027	0.000133	0.000027	-0.000160
ydiS	-0.000584	-0.001733	-0.000584	-0.000584	0.001166
ydiT	-0.000011	-0.000011	0.000550	-0.000011	-0.000539
fadK	-0.000067	-0.000067	0.000565	-0.000213	-0.000353
pps	0.050660	-0.020979	0.003101	-0.001559	-0.001559
ydiA	0.021529	0.029532	-0.021667	0.010985	0.009897
aroH	0.060667	0.004156	-0.005395	0.001184	0.004156
ydiE	-0.002907	-0.079074	-0.002392	0.005251	-0.002907
ydiU	0.009499	0.008760	0.008760	0.008760	-0.018068
ydiV	0.000067	-0.000052	0.000592	-0.000052	-0.000541
nlpC	0.000034	0.000034	0.001155	0.000034	-0.001192
btuD	0.000838	0.000838	0.016614	0.000838	-0.018149
btuE	0.063796	0.003170	0.000474	0.000474	-0.000950
btuC	0.000001	-0.000062	0.000430	-0.000256	-0.000174
ihfA	-0.009075	-0.062599	-0.008297	0.016133	-0.008297
pheT	-0.006176	-0.044400	0.011949	0.013262	-0.026366
pheS	0.017751	0.000000	0.000000	0.000000	0.000000
pheM	0.092320	-0.014922	-0.027904	-0.008390	0.033971
rplT	-0.000228	-0.025666	0.020240	-0.005376	-0.015655
rpmI	0.006664	-0.017643	-0.001085	0.017636	-0.017254
thrS	-0.025109	-0.024116	0.002434	0.000000	-0.002448
b1720	-0.001329	-0.000657	0.002706	-0.000537	-0.002182
b1721	0.000621	0.000621	0.001164	0.000392	-0.001560
ydiY	-0.000099	-0.000473	0.000363	-0.000181	-0.000181
pfkB	0.124505	0.098410	-0.000076	-0.000061	0.000137
ydiZ	0.010312	0.087281	0.001322	0.001322	-0.002657
yniA	0.139989	0.012997	0.008381	-0.016546	0.007704
yniB	-0.000220	-0.001364	0.000440	-0.000220	-0.000220
yniC	-0.012968	-0.001366	-0.001178	-0.001178	0.002347
ydjM	-0.000812	-0.000745	0.001027	0.002836	-0.003891
ydjN	0.061828	0.013904	0.009999	-0.020716	0.009999
ydjO	0.000011	0.000011	0.000620	0.000011	-0.000633
cedA	0.000000	0.071321	0.000000	0.000000	0.000000
katE	0.091675	0.065857	0.008675	0.003982	-0.012954
chbG	0.000008	0.000008	0.000008	-0.000016	0.000008
chbF	-0.001535	-0.000967	0.002733	-0.000967	-0.001779
chbR	0.000092	0.009715	0.000154	0.000154	-0.000308
chbA	-0.000059	-0.000059	0.000463	-0.000059	-0.000405
chbB	0.000000	-0.026948	0.000000	0.000000	0.000000
osmE	0.071032	-0.009343	0.012463	-0.005410	-0.007328
nadE	0.003952	0.003952	0.003952	-0.008013	0.003952
cho	-0.003262	-0.003262	0.007076	-0.003262	-0.003901
spy	0.013825	0.031653	0.014649	-0.029955	0.013825
astE	0.000278	0.000278	0.000724	0.000278	-0.001004
astB	-0.000938	-0.000327	0.000564	0.000487	-0.001052
astD	-0.000498	0.014740	0.000337	0.000337	-0.000676
astC	0.000316	0.028458	0.000739	-0.000160	-0.000580
xthA	-0.003698	-0.016221	0.007303	-0.003698	-0.003698
ydjX	0.000606	0.000371	0.000606	0.000606	-0.001215
ydjY	-0.000627	0.009417	0.000082	0.000082	-0.000164
ydjZ	-0.000223	-0.000180	0.000374	0.000099	-0.000474
ynjA	-0.002709	-0.002709	0.006115	-0.002709	-0.003472
ynjB	0.000021	-0.000070	0.000478	-0.000155	-0.000324
ynjC	-0.000741	-0.000682	0.001160	-0.000089	-0.001073
ynjD	-0.005332	-0.005047	-0.004495	-0.005149	0.009486
ynjE	-0.000085	-0.000937	0.000770	-0.000291	-0.000481
ynjF	-0.000737	0.009360	0.000550	0.000858	-0.001412
nudG	-0.013202	-0.013963	-0.013202	0.025498	-0.013465
ynjH	-0.009979	-0.009960	-0.009331	-0.009007	0.017777
gdhA	0.038662	0.001935	0.001935	0.001935	-0.003896
topB	-0.007318	-0.007239	-0.006591	0.015119	-0.008935
selD	0.016573	-0.007848	-0.000793	-0.007810	0.008450
ydjA	0.029481	-0.011778	-0.010796	-0.011701	0.021659
sppA	0.043651	-0.005901	-0.003260	-0.006397	0.009493
ansA	0.005879	0.005879	0.006798	-0.012961	0.005879
pncA	-0.005358	-0.075856	-0.005358	0.002008	0.003300
ydjE	-0.000034	-0.000034	0.000519	-0.000095	-0.000424
ydjF	-0.008403	-0.008459	-0.008459	-0.008459	0.016439
ydjG	0.000375	0.000375	0.000375	0.000375	-0.000751
ydjH	-0.008051	-0.007210	-0.007210	0.014998	-0.008186
ydjI	-0.001472	-0.000756	-0.000756	0.001508	-0.000756
ydjJ	0.000272	0.033086	0.000272	-0.000340	0.000068
ydjK	0.000224	0.000000	0.000000	0.000000	0.000000
ydjL	-0.000184	-0.000184	0.000391	0.000141	-0.000533
yeaC	0.002216	0.001515	-0.004465	0.002216	0.002216
msrB	0.003806	-0.000603	-0.014752	-0.000603	0.014850
gapA	0.046143	0.014631	-0.014718	0.005120	0.009222
yeaD	-0.007734	-0.007734	-0.010774	-0.007734	0.017932
yeaE	0.010922	-0.023920	-0.009562	-0.009619	0.018568
mipA	0.034250	-0.044291	-0.007128	-0.007128	0.013915
yeaG	0.016153	0.001109	0.001109	0.001137	-0.002255
yeaK	0.040180	0.001752	-0.003246	0.001476	0.001752
yoaI	-0.000834	0.000632	0.003721	0.001385	-0.005155
yeaL	0.009699	0.000268	0.001112	0.000268	-0.001384
yeaM	0.005524	0.000392	0.000392	0.000505	-0.000897
yeaN	-0.001000	-0.000923	0.002549	-0.001371	-0.001190
yeaO	0.013149	0.024555	0.000000	0.000000	0.000000
yoaF	-0.002151	-0.006727	-0.002099	-0.002372	0.004437
yeaQ	0.053291	0.041530	0.009211	0.009211	-0.019029
yoaG	0.008717	0.038338	0.000033	0.000033	-0.000066
yeaR	0.009016	-0.007132	-0.006544	0.014548	-0.008380
leuE	0.045480	-0.006569	0.011437	-0.002700	-0.008989
yeaT	-0.002563	0.009247	-0.002563	-0.003249	0.005754
yeaU	0.000030	-0.000062	0.000585	0.000030	-0.000616
yeaV	0.000123	0.000123	0.000679	0.000327	-0.001008
yeaW	-0.000170	-0.000111	0.000839	-0.000111	-0.000730
yeaX	-0.000190	-0.000115	-0.000115	0.000230	-0.000115
rnd	0.009388	-0.012149	-0.001236	0.002462	-0.001236
fadD	0.000000	-0.000282	0.000000	0.000000	0.000000
yeaY	-0.004923	-0.005265	-0.004410	0.009143	-0.004880
yeaZ	-0.000266	-0.000266	0.000765	-0.000266	-0.000499
yoaA	-0.003935	-0.003935	0.009109	-0.003935	-0.005320
yoaB	0.000000	-0.000331	0.000000	0.000000	0.000000
yoaC	-0.000058	-0.000123	0.000343	-0.000058	-0.000284
yoaH	-0.007141	-0.007193	-0.006904	0.013486	-0.006904
pabB	0.029901	0.000059	0.000059	0.000059	-0.000118
nudL	0.000403	0.000211	0.000518	-0.000212	-0.000307
sdaA	-0.000073	0.000000	0.000000	0.000000	0.000000
yoaD	0.000251	0.000251	0.000251	0.000158	-0.000410
yoaE	-0.010893	-0.011420	-0.014495	0.024963	-0.011592
manX	-0.001112	-0.030526	-0.003621	-0.001171	0.004749
manY	0.022733	0.000000	0.000000	0.000000	0.000000
manZ	0.018885	-0.020657	-0.003793	-0.008530	0.012054
yobD	0.000019	-0.000008	0.000649	-0.000008	-0.000642
yebN	0.000000	0.000000	0.000000	0.000000	0.000000
rrmA	-0.007921	-0.007921	0.015629	-0.007921	-0.008140
cspC	0.065099	0.039030	-0.027930	-0.000528	0.026739
yobF	0.077287	0.012116	-0.025297	0.012116	0.012116
yebO	0.031091	-0.131382	0.015457	-0.001203	-0.014783
mgrB	0.042680	-0.026852	0.010558	-0.002022	-0.008758
kdgR	0.057191	-0.011404	-0.010978	0.005387	0.005387
htpX	-0.000184	-0.000241	0.000253	-0.000012	-0.000241
prc	0.034019	-0.014482	0.002284	-0.002917	0.000616
yebT	0.106011	0.028140	-0.029625	-0.000435	0.028140
rsmF	0.006378	0.006378	0.006378	-0.013045	0.006378
yebV	0.068498	0.001018	0.001300	0.001300	-0.002611
yebW	0.034939	-0.007026	-0.006777	-0.006777	0.013244
pphA	-0.002846	-0.006526	-0.006526	0.013303	-0.007089
yebY	-0.000114	-0.005216	0.000229	-0.000114	-0.000114
yebZ	0.037029	-0.001212	0.006886	-0.005769	-0.001212
yobA	0.001832	-0.001939	0.000000	0.000000	0.000000
holE	-0.008377	0.000496	-0.003078	0.000998	0.002062
yobB	0.000169	0.000566	0.000169	-0.000062	-0.000107
exoX	0.025997	-0.001395	0.003446	-0.001251	-0.002216
yebE	-0.000100	-0.000100	0.000431	-0.000100	-0.000331
yebF	-0.006540	-0.000167	0.000333	-0.000167	-0.000167
yebG	-0.024886	-0.087573	0.019334	-0.003488	-0.016610
purT	0.000000	-0.039871	0.000000	0.000000	0.000000
eda	0.045885	0.002571	-0.005083	0.002571	0.002468
edd	0.032519	0.000345	0.000345	-0.000691	0.000345
zwf	0.070322	0.011633	-0.006477	-0.005395	0.011633
yebK	0.050547	-0.002837	-0.032697	0.012164	0.018751
pykA	0.002508	-0.005727	-0.005379	0.002872	0.002457
lpxM	-0.002113	-0.002152	0.005087	-0.002152	-0.002980
yebA	-0.000000	-0.000459	-0.000000	-0.000000	-0.000000
znuA	0.007879	-0.000113	0.000000	0.000000	0.000000
znuC	-0.001220	-0.001569	-0.005243	-0.001220	0.006382
znuB	-0.009431	-0.015896	0.018269	-0.009431	-0.009431
ruvB	0.015399	0.002798	-0.014206	0.011136	0.002687
ruvA	0.015804	-0.003182	-0.000183	0.000365	-0.000183
yebB	0.000251	0.045960	0.000251	0.000251	-0.000503
ruvC	0.000000	-0.000555	0.000000	0.000000	0.000000
yebC	0.032688	-0.004377	0.000000	0.000000	0.000000
nudB	0.042991	-0.006232	0.000000	0.000000	0.000000
aspS	0.031697	-0.000415	0.000000	0.000000	0.000000
yecE	-0.000083	-0.000042	0.000993	-0.000042	-0.000953
yecN	0.056323	0.002411	0.001134	-0.003946	0.002784
cmoA	-0.002488	-0.002887	-0.001669	0.004970	-0.003346
cmoB	-0.000392	-0.000448	0.001389	-0.000512	-0.000880
torZ	-0.002734	0.011103	-0.000355	0.000916	-0.000562
torY	0.000199	0.000199	0.000483	0.000199	-0.000683
cutC	-0.006080	-0.006080	-0.006080	-0.006080	0.011911
yecM	0.042643	0.000022	0.000289	0.000289	-0.000578
argS	0.027121	-0.010622	-0.010589	0.005199	0.005199
yecT	-0.002706	-0.001051	0.000358	-0.000820	0.000460
flhE	-0.002521	-0.002184	-0.001531	0.003573	-0.002065
flhA	-0.076828	-0.023719	-0.000159	0.014852	-0.015213
flhB	-0.067292	-0.138983	-0.019536	0.028504	-0.010482
cheZ	-0.117911	-0.252008	0.003265	0.000232	-0.003523
cheY	-0.188092	-0.262880	0.019428	0.012864	-0.034240
cheB	-0.043736	-0.050247	0.004192	-0.014391	0.009830
cheR	-0.170847	-0.170797	0.012846	0.011828	-0.025778
tap	-0.032669	-0.072987	-0.018261	0.015979	0.001603
tar	-0.163122	-0.267945	-0.001944	-0.011284	0.012886
cheW	-0.093318	-0.134499	-0.021978	0.008623	0.012539
cheA	-0.115895	-0.248488	0.007968	-0.005983	-0.002105
motB	-0.165555	-0.259448	0.011283	0.004631	-0.016393
motA	-0.230063	-0.252802	-0.002395	0.011473	-0.009337
flhC	-0.013368	-0.091630	-0.013368	-0.004663	0.017447
flhD	-0.001017	-0.043800	0.000310	-0.000126	-0.000184
uspC	0.001169	0.014101	-0.001329	0.001169	0.000157
otsA	0.017348	0.002445	0.002445	0.004997	-0.007543
otsB	0.049201	0.082115	-0.000797	0.003001	-0.002221
araH_2	0.000295	0.018348	0.000295	0.000295	-0.000591
araH_1	-0.001205	-0.001205	0.003028	-0.001306	-0.001738
araG	0.000207	0.000033	0.000546	0.000020	-0.000567
araF	-0.000161	0.036729	-0.000116	-0.000116	0.000233
ftnB	-0.001222	-0.001222	-0.000704	-0.001685	0.002379
b1903	-0.000707	0.001455	0.000589	0.001329	-0.001925
yecR	-0.008531	-0.007034	-0.005257	0.006324	-0.001147
ftnA	-0.003348	-0.004185	-0.003348	-0.010902	0.013877
yecH	-0.000026	-0.000026	0.000532	-0.000321	-0.000212
tyrP	0.016977	0.000320	0.000830	0.000032	-0.000863
yecA	-0.001735	-0.016630	0.003449	-0.001735	-0.001735
pgsA	0.060368	0.004306	-0.008742	0.004306	0.004306
uvrC	-0.001472	-0.086704	0.011478	0.004118	-0.016063
uvrY	0.000024	0.000024	0.000608	-0.000632	0.000024
yecF	0.022102	0.000000	0.000000	0.000000	0.000000
sdiA	-0.037418	-0.041068	0.015381	0.012743	-0.029572
yecC	-0.002836	-0.054970	0.005617	-0.002836	-0.002836
yecS	0.041506	-0.007521	-0.006557	-0.006557	0.012824
fliY	0.009203	-0.024785	-0.002142	0.004253	-0.002142
fliZ	-0.109797	-0.170728	-0.012420	-0.002504	0.014497
fliA	-0.185870	-0.194199	-0.010201	-0.002822	0.012708
fliC	-0.145205	-0.214844	-0.004959	-0.001387	0.006270
fliD	-0.135257	-0.295628	0.009670	-0.002466	-0.007381
fliS	-0.160035	-0.218045	0.004397	-0.020066	0.014931
fliT	-0.063669	-0.068986	-0.008098	-0.009147	0.016747
amyA	-0.038690	-0.074616	0.010932	0.010390	-0.022141
yedD	0.002732	0.002732	-0.005320	0.002540	0.002732
yedE	-0.000044	-0.000044	0.000864	-0.000044	-0.000821
yedF	-0.001124	-0.001003	-0.000289	0.001950	-0.001669
yedK	-0.001751	-0.000255	0.000510	-0.000255	-0.000255
b1933	-0.003557	-0.003628	0.006445	-0.003259	-0.003259
yedN	-0.000912	-0.000167	0.000997	-0.000167	-0.000832
yedM	-0.050227	-0.012801	-0.011760	-0.012441	0.023234
intG	-0.020117	-0.019133	-0.018570	-0.019274	0.035536
fliE	-0.159081	-0.244596	-0.030570	-0.002701	0.031073
fliF	-0.165440	-0.273719	-0.015349	0.013541	0.001324
fliG	-0.201460	-0.205430	0.023017	-0.011731	-0.012234
fliI	-0.119325	-0.164966	0.036094	-0.030537	-0.008226
fliJ	-0.145267	-0.163631	-0.021765	0.031353	-0.011434
fliK	-0.264175	-0.253872	0.005727	0.018130	-0.024983
fliL	-0.228980	-0.257284	-0.000407	0.005698	-0.005362
fliM	-0.152395	-0.139992	0.001581	-0.004061	0.002451
fliN	-0.114966	-0.236891	0.008487	-0.034544	0.023962
fliO	-0.136104	-0.319618	-0.014276	0.030696	-0.018136
fliP	-0.043053	-0.056743	0.007204	0.026288	-0.035800
fliQ	-0.094496	-0.020910	0.004124	-0.002199	-0.001954
fliR	-0.070999	-0.087612	-0.018801	-0.036929	0.050722
rcsA	-0.038890	-0.038536	-0.037572	-0.038602	0.067415
dsrB	-0.000179	-0.000179	-0.000179	-0.000433	0.000611
yodD	0.026024	0.000053	0.000265	-0.000530	0.000265
dsrA	0.060203	-0.001521	0.000544	-0.000272	-0.000272
yedP	0.023249	0.000806	0.001381	0.000527	-0.001915
yedQ	-0.000030	-0.000030	0.000622	-0.000340	-0.000283
yodC	0.035990	0.009681	0.008388	0.008388	-0.017278
yedI	0.000145	0.000145	0.000559	0.000145	-0.000705
yedA	0.019775	0.001452	0.000153	0.001452	-0.001611
vsr	-0.007971	-0.007899	0.013699	-0.007015	-0.007015
dcm	-0.000205	-0.000364	-0.000364	0.000727	-0.000364
yedJ	-0.003573	-0.005074	-0.002433	0.005434	-0.003053
b1964	-0.000178	-0.000178	0.000301	0.000159	-0.000460
b1965	-0.001192	0.039240	-0.001035	0.002062	-0.001035
b1966	-0.001018	-0.000364	0.001525	-0.000364	-0.001166
hchA	0.067089	0.031245	-0.014762	0.007329	0.007065
yedV	-0.003799	-0.003393	-0.003393	-0.003393	0.006707
yedW	0.022244	0.013749	0.013654	-0.027493	0.012585
yedX	-0.000073	-0.000073	0.000451	-0.000379	-0.000073
yedY	0.016336	0.000416	0.000416	0.000642	-0.001060
yedZ	0.000231	0.000138	0.000138	0.000069	-0.000208
yodA	-0.000094	-0.000094	0.000443	-0.000094	-0.000349
yodB	-0.006316	-0.008907	-0.006316	-0.006316	0.012363
mtfA	-0.012185	-0.012185	-0.018864	-0.012308	0.029565
yeeJ	-0.006489	-0.006643	-0.006643	-0.006742	0.013084
b1979	-0.001787	-0.001337	0.003108	-0.001053	-0.002072
b1980	-0.000055	-0.000055	0.000395	-0.000055	-0.000340
shiA	0.011321	-0.000328	0.000022	-0.000044	0.000022
amn	-0.000017	-0.000017	0.000304	-0.000287	-0.000017
yeeN	0.028495	0.004471	-0.026387	0.004471	0.020610
cbl	0.000157	0.000157	0.000157	0.000157	-0.000315
nac	0.000000	-0.000418	0.000000	0.000000	0.000000
erfK	0.039467	0.001108	0.001686	0.001108	-0.002808
cobT	-0.000618	-0.000189	0.001693	-0.000102	-0.001598
cobS	0.000000	-0.000651	0.000000	0.000000	0.000000
cobU	0.030380	0.000000	0.000000	0.000000	0.000000
b1995	-0.004532	-0.004706	0.009549	-0.004532	-0.005177
b1998	-0.000008	-0.000008	0.000523	-0.000232	-0.000292
yeeP	0.001359	0.005533	0.001944	0.001359	-0.003322
flu	0.046552	0.002482	-0.000590	-0.001904	0.002482
yeeR	0.006610	0.006610	0.001352	-0.010132	0.008575
yeeS	0.001271	-0.000932	0.000000	0.000000	0.000000
yeeT	-0.026563	-0.011321	0.022511	-0.007487	-0.015972
yeeU	-0.000290	-0.000168	0.000970	-0.000168	-0.000804
yeeV	-0.001871	-0.001095	-0.000564	-0.001095	0.001654
yeeW	0.000401	0.000401	0.001337	0.000401	-0.001744
yeeX	-0.004461	-0.001928	-0.001928	-0.001928	0.003831
yeeA	0.029759	0.002217	-0.000462	0.000326	0.000136
sbmC	0.000474	0.000217	0.000217	-0.000433	0.000217
dacD	-0.002691	-0.002691	-0.002691	-0.003419	0.006045
sbcB	-0.006662	-0.006016	-0.006016	0.011788	-0.006016
yeeD	0.163858	0.109234	0.034563	-0.010938	-0.025934
yeeE	0.270588	0.180182	-0.000293	0.001131	-0.000840
yeeF	0.100026	0.009437	0.000069	0.000069	-0.000138
